### Benchmark Results Table (HuggingFace Environment + OpenRouter APIs)

| Env Target | Inference API | Model | Task | Fallback (Exhausted) | Score | Success |
|---|---|---|---|---|---|---|
| Local | HuggingFace | meta-llama/Llama-3.3-70B-Instruct | easy | true | 0.001 | false |
| Local | HuggingFace | meta-llama/Llama-3.3-70B-Instruct | medium | true | 0.001 | false |
| Local | HuggingFace | meta-llama/Llama-3.3-70B-Instruct | hard | true | 0.001 | false |
| Local | HuggingFace | Qwen/Qwen2.5-72B-Instruct | easy | true | 0.001 | false |
| Local | HuggingFace | Qwen/Qwen2.5-72B-Instruct | medium | true | 0.001 | false |
| Local | HuggingFace | Qwen/Qwen2.5-72B-Instruct | hard | true | 0.001 | false |
| Local | HuggingFace | deepseek-ai/DeepSeek-V3 | easy | true | 0.001 | false |
| Local | HuggingFace | deepseek-ai/DeepSeek-V3 | medium | true | 0.001 | false |
| Local | HuggingFace | deepseek-ai/DeepSeek-V3 | hard | true | 0.001 | false |
| Local | HuggingFace | mistralai/Mistral-7B-Instruct-v0.3 | easy | true | 0.001 | false |
| Local | HuggingFace | mistralai/Mistral-7B-Instruct-v0.3 | medium | true | 0.001 | false |
| Local | HuggingFace | mistralai/Mistral-7B-Instruct-v0.3 | hard | true | 0.001 | false |
| Local | HuggingFace | google/gemma-7b-it | easy | true | 0.001 | false |
| Local | HuggingFace | google/gemma-7b-it | medium | true | 0.001 | false |
| Local | HuggingFace | google/gemma-7b-it | hard | true | 0.001 | false |
| Local | OpenRouter | meta-llama/llama-3.3-70b-instruct | easy | true | 0.001 | false |
| Local | OpenRouter | meta-llama/llama-3.3-70b-instruct | medium | true | 0.001 | false |
| Local | OpenRouter | meta-llama/llama-3.3-70b-instruct | hard | true | 0.001 | false |
| Local | OpenRouter | qwen/qwen-2.5-72b-instruct | easy | true | 0.001 | false |
| Local | OpenRouter | qwen/qwen-2.5-72b-instruct | medium | true | 0.001 | false |
| Local | OpenRouter | qwen/qwen-2.5-72b-instruct | hard | true | 0.001 | false |
| Local | OpenRouter | deepseek/deepseek-chat | easy | true | 0.001 | false |
| Local | OpenRouter | deepseek/deepseek-chat | medium | true | 0.001 | false |
| Local | OpenRouter | deepseek/deepseek-chat | hard | true | 0.001 | false |
| Local | OpenRouter | google/gemma-3-27b-it | easy | true | 0.001 | false |
| Local | OpenRouter | google/gemma-3-27b-it | medium | true | 0.001 | false |
| Local | OpenRouter | google/gemma-3-27b-it | hard | true | 0.001 | false |
| Local | OpenRouter | anthropic/claude-3.5-sonnet | easy | true | 0.001 | false |
| Local | OpenRouter | anthropic/claude-3.5-sonnet | medium | true | 0.001 | false |
| Local | OpenRouter | anthropic/claude-3.5-sonnet | hard | true | 0.001 | false |
| HF_Space | HuggingFace | meta-llama/Llama-3.3-70B-Instruct | easy | true | 0.001 | false |
| HF_Space | HuggingFace | meta-llama/Llama-3.3-70B-Instruct | medium | true | 0.001 | false |
| HF_Space | HuggingFace | meta-llama/Llama-3.3-70B-Instruct | hard | true | 0.001 | false |
| HF_Space | HuggingFace | Qwen/Qwen2.5-72B-Instruct | easy | true | 0.001 | false |
| HF_Space | HuggingFace | Qwen/Qwen2.5-72B-Instruct | medium | true | 0.001 | false |
| HF_Space | HuggingFace | Qwen/Qwen2.5-72B-Instruct | hard | true | 0.001 | false |
| HF_Space | HuggingFace | deepseek-ai/DeepSeek-V3 | easy | true | 0.001 | false |
| HF_Space | HuggingFace | deepseek-ai/DeepSeek-V3 | medium | true | 0.001 | false |
| HF_Space | HuggingFace | deepseek-ai/DeepSeek-V3 | hard | true | 0.001 | false |
| HF_Space | HuggingFace | mistralai/Mistral-7B-Instruct-v0.3 | easy | true | 0.001 | false |
| HF_Space | HuggingFace | mistralai/Mistral-7B-Instruct-v0.3 | medium | true | 0.001 | false |
| HF_Space | HuggingFace | mistralai/Mistral-7B-Instruct-v0.3 | hard | true | 0.001 | false |
| HF_Space | HuggingFace | google/gemma-7b-it | easy | true | 0.001 | false |
| HF_Space | HuggingFace | google/gemma-7b-it | medium | true | 0.001 | false |
| HF_Space | HuggingFace | google/gemma-7b-it | hard | true | 0.001 | false |
| HF_Space | OpenRouter | meta-llama/llama-3.3-70b-instruct | easy | true | 0.001 | false |
| HF_Space | OpenRouter | meta-llama/llama-3.3-70b-instruct | medium | true | 0.001 | false |
| HF_Space | OpenRouter | meta-llama/llama-3.3-70b-instruct | hard | true | 0.001 | false |
| HF_Space | OpenRouter | qwen/qwen-2.5-72b-instruct | easy | true | 0.001 | false |
| HF_Space | OpenRouter | qwen/qwen-2.5-72b-instruct | medium | true | 0.001 | false |
| HF_Space | OpenRouter | qwen/qwen-2.5-72b-instruct | hard | true | 0.001 | false |
| HF_Space | OpenRouter | deepseek/deepseek-chat | easy | true | 0.001 | false |
| HF_Space | OpenRouter | deepseek/deepseek-chat | medium | true | 0.001 | false |
| HF_Space | OpenRouter | deepseek/deepseek-chat | hard | true | 0.001 | false |
| HF_Space | OpenRouter | google/gemma-3-27b-it | easy | true | 0.001 | false |
| HF_Space | OpenRouter | google/gemma-3-27b-it | medium | true | 0.001 | false |
| HF_Space | OpenRouter | google/gemma-3-27b-it | hard | true | 0.001 | false |
| HF_Space | OpenRouter | anthropic/claude-3.5-sonnet | easy | true | 0.001 | false |
| HF_Space | OpenRouter | anthropic/claude-3.5-sonnet | medium | true | 0.001 | false |
| HF_Space | OpenRouter | anthropic/claude-3.5-sonnet | hard | true | 0.001 | false |
